,y_test,prediction
4931,1426.1436,2528.347627587541
4148,1201.769,1300.0024568560148
7423,1836.2764,2127.3106525133367
4836,2410.8618,2183.015657215006
944,1549.9824,3009.0617841020426
154,3169.208,3942.989868928234
7230,2036.6822,2507.9341935753823
3472,824.9262,1906.102085241254
2294,378.1744,505.65568367192157
2588,1573.9512,2131.544586656825
2087,2474.7786,1890.4417894179485
7318,101.8674,640.6202914036146
6126,894.8352,1746.5018283886002
4164,1491.392,2369.146510223147
6572,1390.1904,1881.9984135609757
693,1707.777,1422.3424623029327
1270,1853.5872,2395.560274193447
5893,2404.8696,2854.7631024385314
1624,5528.1374,3785.8014987395804
5223,12117.56,5473.8047727000485
2972,4767.128,3782.509578773631
6814,185.7582,479.53719714850405
1555,187.0898,501.06496691730223
8275,772.328,1599.3503843670617
3760,1324.2762,2366.474068300563
3161,2036.6822,1652.9469499603529
5225,6574.775,5473.8047727000485
1570,5285.1204,4054.0198848016094
4285,773.6596,1001.0474491129514
1835,6615.3888,3899.452713226144
4266,1022.6688,1498.0034181462588
2740,2797.6916,4061.022445122984
4312,3099.9648,2993.9429529241424
2379,1720.4272,3668.57321861651
821,3338.3212,2264.844517359632
5862,1061.951,533.1787381096677
5108,4567.388,4550.38803051766
7149,6474.2392,5473.8047727000485
2060,1145.176,1887.7164773789686
1571,2804.3496,1645.0848002361076
3879,945.436,1580.679175028442
1889,1255.033,685.1478504140405
528,5206.556,3747.408792683726
7060,5842.395,3870.8950025030854
5845,3379.6008,3045.0985705912794
5860,477.3786,364.3655559939569
4861,113.8518,284.2630655857574
1824,992.042,533.1787381096677
1098,5259.82,4068.4390200432904
5530,1704.448,1633.689608096016
1921,117.8466,286.47529549334223
8517,3608.636,2873.8051706551037
4908,729.051,745.0671022383192
2006,2422.1804,2146.521900994871
98,4363.6532,3592.657688217872
7140,753.0198,1001.16951888486
1003,713.0718,646.2243203393963
3162,683.1108,670.478783672282
4376,195.7452,240.62905159187997
3930,3159.8868,3914.055924070749
5973,1348.245,1467.8543063232255
4276,1803.6522,1557.2224832960308
6789,5932.278,2840.518654443235
8116,71.9064,194.1106906984889
2030,2270.378,1628.1999966648361
3484,303.6048,345.26854929033647
233,2603.278,2373.3868334226277
4511,5773.1518,3088.4169649545297
852,2691.8294,3740.400965371244
1364,476.047,664.4547920584325
257,193.082,1619.5424241120172
5809,2460.7968,1621.6095481517707
3810,121.8414,289.886362931608
379,4274.436,3817.7544468050182
7273,412.796,266.3316741627746
6787,4625.9784,4067.760389865779
2645,3006.087,2162.0537506240908
1589,4950.8888,3900.917054625136
5198,529.311,2803.7527857892683
3909,2184.4898,2131.544586656825
8236,510.0028,532.5694151500248
888,2620.5888,2657.7301481856302
5175,981.3892,769.1011913921888
1580,319.584,997.8570229196964
4109,2297.01,2376.96406736909
4238,1018.674,997.8570229196964
140,1402.1748,2375.0524075625945
6770,3942.8676,3045.0985705912794
4098,1182.4608,3052.338915177632
4394,937.4464,3744.2954623248384
543,1398.18,2140.721751097302
3412,1168.479,1365.5242638393468
3043,1569.9564,1496.8475777969843
6696,6474.2392,5473.8047727000485
6565,296.9468,343.6263808711165
2563,2127.8968,3001.222983069155
4824,5683.2688,4068.4390200432904
6335,2616.594,2856.606586025947
6164,4866.998,2299.2172482227875
6095,316.9208,364.23074444118106
4972,355.5372,1900.9704165694745
3535,2994.7684,3849.637748108734
7490,607.2096,814.7403834347239
49,780.3176,533.1787381096677
7475,1685.8056,2146.521900994871
380,5375.0034,5473.8047727000485
7192,1267.0174,1893.6255720786708
4773,3131.9232,3052.9295292733113
4088,1629.8784,1624.4103337864549
2849,6196.6006,3603.9802224905998
6750,3094.6384,3832.6112949458848
2488,3142.576,3049.5102824972832
3812,2972.1312,2658.9284104082194
916,895.501,435.0348750430023
2539,5259.82,3787.9038264175533
541,231.6984,1329.8417606737432
7275,2922.1962,2375.0524075625945
6192,922.7988,2375.0524075625945
5373,3819.0288,2497.978024972262
1657,75.9012,644.4524783971024
273,5829.7448,4052.6010724930525
7086,392.822,532.5694151500248
2337,61.2536,270.69356644861693
2607,3542.056,3043.909922198751
3299,5396.9748,4102.7329068666795
2631,1510.0344,4057.323817875313
3776,4349.0056,3043.909922198751
4153,225.7062,532.5694151500248
4557,2162.5184,1186.2238387314703
5378,1065.28,3798.9079195052473
6000,7393.0432,5473.8047727000485
7564,802.9548,724.5212135384661
1035,2190.482,2453.7429146830586
8440,2960.1468,2641.4416983313195
6539,3281.0624,3592.657688217872
3434,3778.415,2375.0524075625945
5233,3751.783,1640.1993432829765
4061,428.7752,278.92673509763716
44,373.5138,2056.990936579472
5022,120.5098,289.8227720103502
5085,2916.204,3976.265147378417
3007,3439.5228,2023.4965826943805
7336,1830.95,2700.1001116000816
2434,2006.7212,1597.9363997860987
2580,3629.2758,2447.1726016712873
4559,351.5424,431.17109340036717
5615,2375.5744,2366.474068300563
7019,2466.789,2136.666805074419
4574,2303.668,1900.9704165694745
4589,1543.3244,683.6688001071255
7801,2432.8332,2854.7631024385314
8255,2696.49,1584.6521091722702
7646,790.9704,664.8867724772977
6132,5438.9202,3986.4973125663196
5663,1174.4712,1584.1849438588
3637,1166.4816,786.8622790040712
2966,143.8128,330.09721803936424
6577,761.6752,1580.679175028442
6261,4288.4178,5473.8047727000485
4083,1216.4166,4789.314900093257
4415,5219.872,3045.0985705912794
2643,5976.2208,3968.909897408371
1132,1901.5248,2441.5230987378327
5686,856.8846,1584.1849438588
7491,3175.866,2858.3759282064498
938,89.2172,212.48326872520047
7453,509.337,990.4608803023792
6510,3251.1014,2858.347093216462
234,605.878,755.8633030755768
722,1780.3492,2096.5613623962786
187,778.986,2131.544586656825
3526,473.3838,848.2264754899444
4699,6831.108,3894.4454159117736
2793,1837.608,1436.840444101029
6198,3214.4824,3009.7314824315
2650,2524.0478,2366.474068300563
7761,1403.5064,1496.0629653608207
3112,886.8456,1584.1849438588
635,5087.3778,5377.353497117379
7677,2045.3376,3861.3819280726743
4413,3900.9222,2366.474068300563
4937,3658.571,1633.0854536179675
5645,2077.296,2822.4281462586964
1034,75.9012,197.27466904856053
3326,3478.805,3007.4557707426557
1103,5350.3688,2989.212638374657
6440,1113.2176,979.013449493174
2578,2648.5524,2366.474068300563
394,3259.7568,3040.3533929072228
4994,2292.3494,3745.3192408347545
787,129.1652,246.639233181989
2152,2348.9424,2104.810472307736
5105,1230.3984,1628.1999966648361
3379,727.0536,969.5186354910825
4800,488.6972,533.1787381096677
5276,2055.3246,1582.6027159452576
6608,691.1004,1904.099269585457
7114,3174.5344,3055.9959673718554
6423,569.259,2991.056121962072
5840,1446.1176,1996.1110356378415
3766,5267.8096,3781.3738238917267
5575,885.514,1484.0649484426137
3779,3563.3616,2369.146510223147
5977,8474.3024,5473.8047727000485
7052,3675.216,3884.5613949866147
1082,1584.604,1756.1518340057676
7917,743.0328,1536.6739342340113
5836,3271.7412,3787.2798413375217
3976,1592.5936,1241.5960543303086
1783,2364.9216,2366.474068300563
1414,3420.8804,5473.8047727000485
3724,5000.8238,4777.822201432576
5605,1607.907,3826.5716276151174
2509,2960.1468,2622.646937155613
2067,1518.024,2369.146510223147
2774,1419.4856,1662.9004567725526
6630,173.108,196.04830515701477
1817,4410.2592,3043.909922198751
3805,2182.4924,3110.311253678685
2081,392.822,531.7934258588701
7551,3229.7958,3632.4954086342186
5173,2302.3364,2862.157941156007
3714,5299.768,3909.6529044197628
692,4974.1918,4184.023611731508
1235,3235.788,2553.13673150594
5770,2388.2246,2148.395126301255
642,3246.4408,2151.373393666129
7419,2444.8176,2366.474068300563
3315,2956.152,2960.0821347219944
3679,2695.1584,2046.1012948506238
38,388.1614,664.6964284854386
7813,109.1912,267.55595728288756
5155,354.2056,431.17109340036717
8405,124.5046,289.8227720103502
1180,2190.482,2375.0524075625945
1022,352.874,431.17109340036717
7538,1817.634,2840.381371927735
8284,197.0768,240.62905159187997
7975,922.7988,1354.960624288654
1332,1957.452,2624.3404943297232
5873,2422.1804,2151.373393666129
2189,5243.8408,3937.2412402382206
1386,3691.1952,2023.4965826943805
147,1597.92,2553.13673150594
8244,3964.839,4102.7329068666795
7158,5592.72,3674.373628192708
4520,2302.3364,1993.1205091540369
3769,3567.3564,5360.530212896685
5470,1791.6678,1339.3337640013106
7898,790.9704,533.1787381096677
8441,777.6544,1582.6027159452576
4919,341.5554,1854.3636011398494
196,992.7078,767.5069119704416
5367,2596.62,2800.19625649774
1456,351.5424,1467.8543063232255
277,450.0808,1735.143738535559
1830,1468.089,664.3299269883365
2172,697.7584,430.92963404199213
3266,5752.512,3780.658413183405
1379,5816.4288,5473.8047727000485
4844,102.5332,266.3316741627746
6799,459.402,3963.726786028244
7782,2345.6134,2899.363810252662
2843,2796.36,3926.1883757465625
1283,1581.275,1103.589714569975
3375,352.874,431.78041636001
5739,2087.283,2991.056121962072
5937,312.926,345.9387673700333
3180,1524.0162,532.5694151500248
7671,1078.596,650.8968191984983
8210,3435.528,3861.252043335697
2417,3731.809,3051.1502667851037
7299,3352.303,2857.7210930115625
958,1973.4312,2718.417381693258
6956,2125.2336,1616.8965317380023
3740,91.8804,205.35815561862609
3079,497.3526,1049.7627911491054
5167,683.1108,1859.5390083068037
839,2857.6136,1582.6027159452576
39,2180.495,2244.0989632166024
7852,1342.2528,1582.6027159452576
4881,2792.3652,2395.560274193447
6258,2512.7292,1382.311114470831
7427,884.1824,532.5694151500248
3603,330.2368,424.5162592397566
7648,1070.6064,1444.9892079308636
462,1787.673,1906.102085241254
4065,1845.5976,2749.2490763301744
982,384.8324,523.7319612614508
6296,247.6776,289.7262213673686
641,6611.394,3657.549109589785
454,2683.174,1548.2065639931711
20,3775.086,3838.996708171033
8401,1395.5168,1465.1369354352487
8283,1845.5976,1467.8543063232255
3639,390.1588,529.1061579276578
244,3225.1352,3788.2294722540946
2984,1257.0304,2382.0505528100844
6154,3874.956,3044.4288722618217
3978,882.8508,835.5044241202783
4609,1049.9666,980.1305160032028
6039,1757.712,1100.4485768580203
882,300.9416,343.37645422524787
3443,1150.5024,769.7694620160167
7632,41.9454,202.05744027521595
4967,3146.5708,3044.9612880757795
3634,1601.249,2043.250690480474
4060,5609.365,5473.8047727000485
651,229.701,204.58830130252122
1852,874.8612,742.9237451329786
162,3315.684,3833.724272581583
7043,992.7078,2162.0537506240908
4240,1518.024,3045.0985705912794
6163,1957.452,2148.395126301255
5863,2387.5588,3733.3755416030344
304,7696.648,3752.5513293153695
4853,2852.2872,2528.347627587541
7311,1494.0552,1535.092260986373
7398,1494.0552,1548.2065639931711
6866,647.8234,1582.904624161001
6943,325.5762,1645.2627983346629
1085,5173.266,4789.314900093257
7496,2868.2664,3773.196733511279
5165,2954.1546,2854.2387051269466
2457,5099.3622,3738.481628039001
8008,2743.7618,3808.489887608428
2813,113.186,285.55259147860556
2214,2936.178,3046.796753160822
1168,2519.3872,1887.7164773789686
8070,868.869,1599.3503843670617
6148,2740.4328,3047.8481190378498
8253,2896.8958,2375.0524075625945
6913,325.5762,1640.1993432829765
6340,3123.9336,3020.1378736510737
8003,1342.2528,3040.3533929072228
1261,2681.8424,2148.395126301255
296,583.2408,762.5032494991951
229,3101.2964,5084.862197359448
2241,856.8846,1223.1088262302414
4407,587.2356,1586.2343370858125
221,1416.8224,1452.645182224525
6982,5073.396,4067.8777943891705
6688,5888.3352,4829.414333278131
1411,928.791,1238.142149441717
2549,6381.693,2148.395126301255
4123,4082.6856,2301.6069106785694
5435,2127.231,2290.0421098444085
2076,2516.724,2034.6382991318053
7886,1857.582,1626.6177687512939
3840,1559.9694,2183.015657215006
4068,1761.7068,1586.2343370858125
5972,549.285,478.8735201939661
7176,2037.348,2798.342639573073
1091,2503.408,2453.7429146830586
7138,652.484,760.6884068807523
8141,452.744,997.8570229196964
2250,458.0704,1865.314705908733
4977,2446.815,2636.6522886979096
5518,2463.46,1607.6907667037574
6481,2716.464,2528.9291405252457
6605,1125.202,685.1478504140405
4328,5690.5926,2856.606586025947
8153,1719.7614,3045.6504293892667
6289,2247.075,2366.474068300563
2676,4134.618,2870.682205058825
4582,3495.45,3960.2908901189326
5399,2802.3522,2034.6382991318053
8412,2203.798,3680.9318845462108
5599,429.441,299.7273996292494
4076,2450.144,1648.456646571054
6436,3506.7686,2370.8463607810645
3636,6338.416,3040.3533929072228
841,178.4344,220.99448899304988
3528,3872.9586,3006.174953139972
1547,829.5868,997.8570229196964
6724,1454.1072,1941.9233917430868
6853,3098.6332,1941.9233917430868
8046,392.822,3050.6989308898114
1029,1198.44,1379.944732874501
7766,1707.777,1881.9984135609757
6670,264.9884,533.1787381096677
8148,3142.576,3014.3588205840856
7355,80.5618,163.69353881927861
4900,3439.5228,2658.8030597202423
6428,1808.9786,2681.3758548825176
5498,309.597,1628.6811476175644
7533,2572.6512,3041.6342105099066
7994,3593.3226,2857.7952344184746
3910,1621.8888,2996.7728709612798
2568,659.142,654.7548898905287
2644,884.1824,989.3725499067393
733,1807.647,1947.603581338591
4105,5522.811,5473.8047727000485
5694,1435.4648,2104.810472307736
6512,2841.6344,2104.810472307736
6590,3691.1952,2376.96406736909
5558,6624.71,4082.00247158445
1750,5956.9126,4101.481404624111
836,145.8102,199.38251893222218
2528,6503.5344,3050.6989308898114
4831,858.882,2202.400807226855
5006,1701.7848,2148.395126301255
7489,614.5334,752.8509420893708
2866,250.3408,292.08302072088526
7154,3835.008,3682.0859389186107
683,1488.063,1600.9326122806042
499,1298.31,2104.810472307736
388,717.7324,1050.9278539740787
6101,2999.429,2854.8193989149213
3311,1346.2476,3875.452662497653
6380,3755.112,3040.3533929072228
8404,153.134,207.2630147150738
119,1141.847,3848.742693970452
158,1701.7848,2148.395126301255
6968,755.0172,1538.024499607658
3986,4250.4672,1874.1312941892527
5962,1641.197,1582.6027159452576
6693,1957.452,2131.544586656825
1044,6048.793,3916.8644815833513
3964,2077.296,2127.3106525133367
6059,3704.5112,3148.205274382615
4301,3295.71,1609.2729946172997
7733,467.3916,643.0926396942463
7868,2542.0244,1658.5276930975433
6837,4165.2448,4013.476279479981
3975,892.8378,1618.4877544123751
6099,567.2616,323.03221310529904
7276,1537.998,1621.2542600284023
1422,852.224,1538.024499607658
4561,2183.824,1656.945465184001
6183,3509.4318,2728.1517535571093
1644,153.7998,347.6545826762444
2480,782.9808,531.1841028992272
2877,3165.879,3770.0976896159227
2491,109.1912,280.8102443607688
1831,1733.7432,2204.472693339387
6464,2195.8084,2104.810472307736
6141,4460.86,2858.3759282064498
7016,8062.838,5473.8047727000485
1240,3415.554,2992.129338670111
2542,1211.756,1507.393298747626
4225,233.03,532.375049057366
6372,2846.295,2370.8463607810645
4220,1571.288,2460.7601594272674
4418,2530.7058,1921.8682575106309
7542,785.644,1530.9054153617158
7198,3981.484,2375.0524075625945
2041,633.8416,661.6576383161836
2223,188.4214,503.254370638637
3852,1073.2696,1496.0629653608207
1142,3747.1224,4829.414333278131
5139,988.0472,664.6964284854386
7833,4482.1656,3001.222983069155
6673,1006.6896,4748.296166203534
532,95.8752,198.6126646161173
3222,852.224,1518.5859173583544
3581,1006.6896,1854.3636011398494
6043,677.1186,3871.911279260821
7004,870.8664,2366.474068300563
4013,4857.6768,3592.657688217872
422,3415.554,3911.036072273894
7899,377.5086,949.1027436693339
1373,5426.27,3796.2412806910393
22,1587.2672,3048.5372603513374
495,2336.958,2861.305083789493
4781,2784.3756,2684.959845660448
4270,2360.9268,2140.721751097302
7680,419.454,1485.3149480378247
1718,563.9326,774.0610416778627
1683,990.7104,2657.0002821543544
6415,126.502,245.99074939596093
6079,341.5554,648.3123330364084
3744,4334.358,2299.2172482227875
2388,1004.0264,3836.1601734685787
6024,171.1106,429.5939066062692
6619,2316.984,2993.9429529241424
8487,4111.315,4648.487980142995
144,905.488,968.7540691709307
3972,1895.5326,2366.474068300563
574,37.9506,195.0266089646649
4018,3392.9168,2127.3106525133367
6526,2145.2076,5473.8047727000485
4873,4302.3996,5473.8047727000485
5968,4996.829,4022.2236077449475
3706,4452.8704,5473.8047727000485
3648,3257.7594,2447.1726016712873
3239,3693.8584,3046.796753160822
1066,2633.9048,1879.8183079683326
167,1743.0644,2046.1012948506238
5318,540.6296,651.7558428262449
1869,1518.024,1625.9925616999972
1666,512.666,770.5158980031302
8265,4026.7584,2369.146510223147
526,283.6308,2148.395126301255
2931,196.411,531.1841028992272
1112,1544.656,1512.1313762034356
8004,2446.1492,3851.6740508712896
4872,2940.1728,3043.909922198751
6711,3563.3616,2366.474068300563
2632,1629.8784,1626.6177687512939
987,5061.4116,3740.3178749604353
6561,1030.6584,2856.606586025947
1122,1125.202,1454.5806507732334
989,5518.1504,4789.314900093257
776,857.5504,1640.1993432829765
274,2082.6224,1532.0258243958895
7376,2399.5432,2151.373393666129
8368,1800.3232,1874.1312941892527
33,2174.5028,1498.546746039793
5379,926.7936,978.1702582667189
5253,5645.984,2803.6786443823557
1478,4211.185,4777.822201432576
6376,2651.2156,2034.6382991318053
2328,1120.5414,1152.5526416969083
8327,3012.0792,1648.456646571054
8101,2189.1504,3039.2663296109067
8192,2908.2144,1716.8001189019985
3664,1318.284,1454.5806507732334
3849,1525.3478,1031.964992227311
2270,695.0952,1906.102085241254
6757,2807.0128,2678.006946654339
1656,3455.502,1881.9984135609757
4364,1411.496,2856.008047307449
152,2768.3964,3001.9535187426477
4902,2290.352,2148.395126301255
8193,2656.542,2082.7404145939026
7588,1845.5976,1626.6177687512939
7484,671.1264,3902.250464686054
487,75.2354,248.477147395629
5476,193.7478,270.69356644861693
2420,998.7,3988.0049288122977
2894,1384.1982,3068.634130847671
3583,5660.6316,3760.2526827782003
1070,952.7598,655.0799070763746
134,952.094,2991.056121962072
7575,641.8312,4248.589582317722
1454,107.8596,267.6367644165482
5871,129.831,294.3131778927557
5864,1201.769,1105.4443759850228
4512,383.5008,1107.9441113330006
3053,34.6216,201.80132867785554
7286,1102.5648,1056.216506705699
5397,61.9194,270.69356644861693
6970,1416.8224,1303.6093070268016
2560,1609.9044,2046.1012948506238
2026,3425.541,3779.4960537258094
6578,1418.154,1581.6270742692134
3069,1736.4064,3805.50583988763
